ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1851,USA,Bevis,Angeles Snell,New Bedford,"Dalrymple Bay, Anjouan, Macamba Bay",whaling,NWBM 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1854,USA,Bevis,McFarlin,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541226.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1844,USA,Bhering,,Boston,Zanzibar,,,NEM 215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1831,USA,Black Warrior,John Bertram,Salem,Zanzibar,gum copal  ,,"Essex county, 84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1840,USA,Blackstone,,Mystic,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1855,GBR,Blue Jacket,Jackson,London,Maritius,sugar for London,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560129.pdf,"built in Boston, now owned in London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1846,USA,Bolton,Lewis,Stonnington,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1833,USA,Boxer,,Salem,"Zanzibar, Muscat, Mozambique",,,NEM 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1836,USA,Brandt,Maxfield,New Bedford,"Maritius, Saint Auguastine Bay",whaling,,"NARA reel 1, NBWM 411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1837,USA,Brandt,Fischer,New Bedford,Maritius,whaling,http://pplspc.org/nicholson/rj5_nicholson_83/html/rj5_nicholson_83r-0801.html,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1844,USA,Brandt,Sampson,New Bedford,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440806.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1849,USA,Brandt,Honeywell,New Bedford,"Diego Garcia, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510304.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1844,USA,Brenda,Andrew Ward,Salem,Zanzibar,dates,,"History of Essex County, 85; NEM 214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1857,USA,Brewster,Crary B. Waite,"Mattapoisett, MA","Nosy Be, Maritius",whaling,Mystic / Nantucket Historical Association,http://images.mysticseaport.org/images/wsl/18580727.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1849,GBR,Brilliant,,,"Mozambique, Nosy Be",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1798,USA,Brothers,John Felt,Salem?,Maritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1849,USA,Bruce,Fuller,Fairhaven,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18491009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1852,USA,Bruce,Dyer,Fairhaven,"Johanna, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530920.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1856,USA,Bruce,Nelson,Fairhaven,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561014.pdf,"broken, to be condemned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1834,USA,Brunswick,,Providence,"Antongil Bay, Saint Auguastine Bay",whaling,,"NBWM 179, NBWM 597, MBWM ODHS 1086 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1838,USA,Brunswick,,Providence,"Madagascar, Maritius",whaling,Rhode Island Historical Society Library,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1857,USA,Brunswick,Butler,Dartmouth,Maritius,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1847,USA,Calumet,Skinner,Stonington,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480111.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1849,USA,Canton,Taber,New Bedford,"Rodriguez, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490904.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1867,USA,Canton,Joshua G. Lapham,New Bedford,Saint Auguastin Bay,whaler,NBWM ODHS 996,,"traded with ""Prince willie""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1887,USA,Canton,George Lyman Howland,New Bedford,Madagascar,whaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1854,USA,Canton Packet,Borden,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541003.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1843,USA,Cassander,Dennis,Providence,Comoros,whaling,,"Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1852,USA,Catherwood,Allen,Westport,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1839,USA,Cavalier,John Waters,Salem,"Majunga, Zanzibar, Bombay, Zanzibar, Majunga",,"PE Pingree papers -Box 74, folder 4; PE Log 1369","NEM 212, RW 4:2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
