Date (visiting Madagascar),Flag,AAA Name of ship,Name of master or author,Original Port,Places visited,Trade?,Archival location of ship log,Source ,Details,Madagascar ports,date in,date out,goods bought,goods sold,details,second stop,date in,date out,third stop,date in,date out,fourth stop,date in,date out,fifth stop,date in,date out,sixth stop,date in ,date out,7 stop,date in ,date out,8 stop,date in,date out,8 stop,date in,date ou,,,,,,
1847,US,St. Peter,Simmons,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471005.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,St. Peter,Almy,New Bedford,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520803.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Stafford,Bosmer,New Bedford,"Johanna, Saint Augustine Bay",whaling,,http://images.mysticseaport.org/images/wsl/18580831.pdf,,Saint Augustine Bay,April 1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Star,Connant,Salem,"Zanzibar, Majunga",,"PE 421, Log 1985; see also John Studdy Leigh",NEM 209,,Majunga,01-Nov,21-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Star,E. Brown,Salem,Zanzibar,,,"History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Star,W. B. Smith,Salem,"Zanzibar, Mauritius",,,"History of Essex County, 85, NEM 215, NARA reel 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Star,William B Smith,Salem,"Madagascar, Zanzibar, Ibo, Brava",,PE Log 1987,,,Madagascar,19-Sep,21-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Star,W. B. Smith,Salem,Zanzibar,,,"History of Essex County, 85; PE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Star,McFarland,Salem,"Mozambique, Madagascar, Zanzibar, Mayotte",,PE Log 600,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Star,William McFarland,Salem,"Madagascar, Zanzibar",,,"History of Essex County, 85",,Madagascar,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Stephania,Hattaway,New Bedford,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Storm King,,Salem,"Madagascar, Zanzibar, Aden, Muscat",,PE Log 728,,,Madagascar,04-Apr,,"Majunga - 378 hides, Nosy Be - 500+  hides, 4 barrels shells","Majunga - 122 bales cotton, Nosy Be - assorted goods, 26 bales cotton, Tamatave 93 bales cotton",,Nosy Be,14-Apr,19-Apr,Tamatave,11-May,17-May,,,,,,,,,,,,,,,,,,,,,,,,
1861,US,Storm King,,,"Majunga, Nosy Be, Tamatave, Zanzibar",,PE Log 3190,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,US,Storm King,,,"Majunga, Nosy Be, Zanzibar",,PE Log 785,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,US,Sukey,"Henry Prince, JR.",Salem,Mauritius,,,"History of Essex County, 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,Zanzibar,Sultana,,Zanzibar,New York,,,NEM 214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Surcasa,,New Bedford,"Madagascar, Mauritius",whaling,,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,US,Susan,Stephen Burchmore,Salem,Majunga,,,"Essex county, 84",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,US,Susan,Burchmore,Salem,"Sofala, Quilimane, Majunga, Zanzibar, Lamu","gum copal, ivory, shells, wood, cloves; hides, ivory and frankincense from Madagascar",PE 3055 (OS),"Northway, 151",,Majunga,23-Jul,18-Aug,"wood, food, 300+ hides",rum,see dhows at Johanna of the gov of Majunga,Majunga again,14-Jan,26-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Susan,,,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481121.pdf,"sailor died on board of ""African fever""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,UK?,Swallow,,,Majunga,,John Study Leigh,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,US,Talent,James Barr Jr,Duxbury,Majunga,beef,PE Log 2017,NEM 151,,Majunga,11-Apr,21-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Taptee,Cogan,,Zanzibar,,,NEM 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,US,Taria Topan,William Hathorne,Salem,Zanzibar,,,Putnam 106-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,US,Taria Topan,William Hathorne,Salem,Zanzibar,,,"Putnam, 107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,US,Taria Topan,William Hathorne,Boston,Zanzibar,,,"Putnam, 108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,US,Taria Topan,William Hathorne,Boston,"Aden, Muscat, Zanzibar",,,"Putnam, 74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,US,Taria Topan,William Hathorne,Boston,"Mauritius, Aden, Muscat",,,"Putnam, 108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,US,Taria Topan,William Hathorne,Boston,"Zanzibar, Aden, Muscat  ",,,"Putnam, 108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,US,Taria Topan,William Beadle,Boston,"Zanzibar, Aden, Muscat  ",,,"Putnam, 109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,US,Taria Topan,Nathan Batchelder,Boston,"Tamatave, Muscat",,,"Putnam, 109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,US,Taria Topan,William Beadle,Boston,Zanzibar,,,"Putnam, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,US,Taria Topan,Nathan Batchelder,Boston,"Zanzibar, Aden, Muscat",,,"Putnam, 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,US,Taria Topan,Nathan Batchelder,Boston,"Zanzibar, Aden, Muscat",,,"Putnam, 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,US,Taria Topan,Nathan Batchelder,Boston,"Zanzibar, Aden, Muscat",,,"Putnam, 111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,US,Taria Topan,Nathan Batchelder,Boston,"Tamatave, Zanzibar, Aden, ""Madagascar""",,,"Putnam, 111",,TAmatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,US,Taria Topan,Nathan Batchelder,Boston,"Tamatave, Zanzibar, Majunga",,,"Putnam, 111",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,US,Taria Topan,Nathan Batchelder,Boston,"Tamatave, Zanzibar, Majunga",,,"Putnam, 111",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,US,Taria Topan,Nathan Batchelder,Boston,"Tamatave, Zanzibar, Majunga, Zanzibar",,,"Putnam, 111-2",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,US,Taria Topan,Nathan Batchelder,New York,"Zanzibar, Muscat",,,"Putnam, 112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,US,Taria Topan,Edward Trumbull,Boston,"Muscat, Nosy Be, Tamatave",,,"Putnam, 112",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,US,Taria Topan,Edward Trumbull,Boston,"Vatomandry, Tamatave, Mahanoro, Muscat, Zanzibar, Nosy Be",,,"Putnam, 113",forced away from Vatomandry bc of blockade by French,Tamatave ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,US,Taria Topan,Edward Trumbull,Boston,"Zanzibar, Nosy Be, Majunga",,,"Putnam, 113",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,US,Taria Topan,Edward Trumbull,Boston,"Zanzibar, Tamatave, Mauritius",,,"Putnam, 113-4",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,US,Taria Topan,Edward Trumbull,Boston,"Tamatave, Zanzibar, Nosy Be, Majunga",,,"Putnam, 115",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,US,Taria Topan,Edward Trumbull,Boston,Tamatave  ,,,"Putnam, 94",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,US,Taria Topan,Edward Trumbull,Boston,"Zanzibar, Mauritius, Tamatave, Nosy Be, Majunga",,,"Putnam, 115",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,US,Taria Topan,Edward Trumbull,Boston,"Tamatave, Zanzibar, Nosy Be, Majunga",,,"Putnam, 115-6",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,US,Taria Topan,J. Warren Luscomb,Boston,"Tamatave, Zanzibar, Majunga",,,"Putnam, 116",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,US,Taria Topan,J. Warren Luscomb,Boston,Tamatave,,,"Putnam, 116-7",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,US,Taria Topan,J. Warren Luscomb,Boston,"Zanzibar, Tamatave",,,"Putnam, 117",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,US ,Taria Topan,J. Warren Luscomb,Boston,Tamatave,,,"Putnam, 117",,Tamatave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Tenedos,Chester,New London,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18431003.pdf,,Saint Augustine Bay,05-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,US,Thetis,Charles Forbes,Salem,Majunga?,"216,000 pounds of tallow",,"Northway, 152",for J. W. and R. S. Rogers,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,US,Thetis,William Bates,Salem,Majunga,,,"Essex county, 84",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,US,Thetis,William Bates,Salem,Majunga,,,"Essex county, 84",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,US,Thetis,William Bates,Salem,Majunga,,,"Essex county, 84",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,US,Thomas,Detchegarry,Salem?,"Madagascar, Mauritius",,,"Toussaint, Early American Trade, 86 (GB 26)",,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Thomas Milledge,Little,St. Johns,Saint Augustin Bay,whaling,,NBWM 24,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Thomas Perkins,J. P. Page,Salem,Zanzibar,,,"History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Thomas Winslow,Root,"Westport, MA",Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,Saint Augustine Bay,May ,08-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Thos. Perkins,P. P. Page,Salem,"Bombay, Mauritius, Mozambique",,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Tigress/ Tigris,John G. Waters,Salem,"Majunga, Zanzibar","hides, copal",,"Edmund Roberts, LOC; PE 969, David Pingree",,Majunga,14-Nov,,"1500 hides, gum copal, sea cow teeth, ivory, tortoise shell",$300 ,"total bought c $6764, copal very ditry, ivory expensive, need them to pay in dollars, as now in debted",Majunga,September 1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Tigress/ Tigris,John G. Waters,Salem,"Majunga, Zanzibar",,"PE Pingree papers - Box 135 (OS) 3, Box 141 (OS) 4, Box 101, folder 6","Edmund Roberts, LOC",,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,Tom Corwin,Bates,Salem,"Madagascar, Zanzibar, Muscat, Mocha, Aden",,PE Log 628,,,Madagascar,08-Sep,11-Sep,,goods for Mr Marks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Triton,,Portsmouth,"Anjouan, Saint Augustine Bay",whaling,,NBWM 411,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Triton,Fosdick,Plymouth,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460210.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Triton,King,New Bedford,"Anjouan, Nosy Be",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,Nosy Be,,29-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Tuscany,,,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550724.pdf,lost at Amsterdam island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Twilight,Tompkins,New Bedford,Mauritius,whaler,,http://images.mysticseaport.org/images/wsl/18571027.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,US,Two Brothers,Samuel Rea,Salem,Mauritius,,,"History of Essex County, 83",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Two Brothers,Eastham,New Bedford,"Saint Augustine Bay, Mauritius",whaling,,"NARA reel 1, NBWM 411",,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Tybee,Dickens,Stonington,"Madagascar, Mauritius",whaling,New Bedford whaling museum - in catalog,NARA reel 2,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Undine,Merry,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560219.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531108.pdf,"presumed lost by 1855, after two hurricanes in the ocean, last heard in December of 1854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,US,Union,Rick,,Mauritius,,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,US,Union,Thomas Oxnard,Salem?,"Madagascar, Reunion, Mauritius",,,"Toussaint, Early American Trade, 84 (GB 26 Mauritius Archives)",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,US,Union,Thomas Oxnard,Salem?,"Madagascar twice, Mauritius",,,"Toussaint, Early American Trade, 85 (GB 26)",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,United States,Gifford,"Westport, MA","Johanna, Nosy Be",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440903.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450401.pdf,,Nosy Be,10-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,United States,Smith,New Bedford,"Johanna, Zanzibar ",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,United States,,WEstport,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500910.pdf,went into Bourbon due to crew sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,United States,Hicks,Westport,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550731.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,United States,Woodward,Westport,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570303.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,US,unknown,,,Saint Augustine Bay,,,NBWM ODHS 786,,Saint Augustine Bay,March,,Saint Augustine Bay,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Velocity,Hall,Boston,"Zanzibar, Majunga, Mombasa",,"NEM 190, RW, 4:1",also John Studdy Leigh,,Majunga,05-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Venice,Harris,New London,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480905.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Vesper,Hempstead,New London,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,US,Vigilant,Daniel Hathorne,Salem?,Mauritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,US,Virginia,Henry Leavitt,Salem,"Majunga, ""Ahnsoovoongallah,"" Madagascar",,"NEM 151, PE Log 1812",,"worried over attack from dhows, unsettled in clashes between Merina and Sakalava",Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Vision,Laurence,Farmindale,Madagascar,whaling,Nantucket Historical association ,,Madagascar,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,US,Wade,Bradbury,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18471207.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,UK,Warren,Cracken,,Saint Augustine Bay,whaling,,NBWM ODHS 172,,Saint Augustine Bay,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Warren,,,Saint Augustine Bay,whaling,,NBL 32,,Saint Augustine Bay,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Washington,Elihu Russell,Dartmouth,Saint Augustin Bay,whaling,NBWM ODHS 1086 A; NBWM #179,,see 5 ships in the bay,Saint Augustine Bay,25-Jul,Augst 12,,,,Antongil,"June 3, 1835",07-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Washington,,,"Saint Augustin Bay, Johanna",whaling,,NBWM 24,,Saint Augustine BAy,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Washington,W. Sopping,Sag Harbor,Mauritius,whaling,East Hampton Free Library http://cdm16694.contentdm.oclc.org/cdm/compoundobject/collection/p15281coll2/id/12864/rec/13,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Washington,,Sag Harbor,Saint Augustine Bay,whaling,,NBWM 339,,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Washington,James G. Coffin,New Bedford,"Saint Augustine Bay, Anjouan",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,Saint Augustine Bay,10-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Wave,Downs,New Bedford,"Madagascar, MAuritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531018.pdf,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Waverley,Ward,Salem,Zanzibar,,,NEM 209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Waverley,Ward,Salem,"Zanzibar, Bombay",,,NEM 211,carrying missionaries to Bombay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Waverly,Kinsman,Salem,Zanzibar,,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,White Oak,William Post,,"Mauritius, Saint Augustin Bay, Nosy Be, Tamatave",whaling,,"NARA reel 1, NBWM 411",,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,US,William  ,Thomas West,Salem,Mauritius,"took wax, sperm candles, ham, iron, rum, other food, etc, return with sugar",,"History of Essex County, pg 82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,William & Eliza,Pickens,New Bedford,"Johanna, Madagascar, Mauritius",whaling,,v;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540502.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,Madagascar,"March 10, 1854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,William & Henry,Charles Fabens,Salem,"Zanzibar, Bombay, Zanzibar, Majunga",,"PE Pingree papers -Box 102, folders 3, 4, and 5","NEM 209, RW 4:1",,Majunga,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,William Badger,Perkins,Lynn,Nosy Be,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461103.pdf,,Nosy Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,William Badger,Perkins,Lynn,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520203.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,William Badger,Perkins,Lynn,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,William Badger,Maxfield,Lynn,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/wsl/18581026.pdf,,Saint Augustine Bay,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,William Goddard,Mossman,Boston,Mauritius,ice,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,William Henry,Jolis,Warren,"Nosy Be, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511202.pdf,,Nosy Be,"July 4, 1851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,William Lee,Lee,Newport,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,William Lee,Guninger,Newport,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,William Rotch,William M. Ellison,,"Saint Augustine Bay, Tulear, Mauritius",whaling,,NBL 47; http://images.mysticseaport.org/images/wsl/18571027.pdf; http://images.mysticseaport.org/images/wsl/18580406.pdf,,Saint Augustine Bay,"September 17, 1857",,,,,Tulear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,William Wirt,Thomas Winsor,Boston,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531018.pdf,leaking since leaving Calcutta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,William Wilson,Taber,Warren,Mauritius,whaling, ,http://images.mysticseaport.org/images/wsl/18580831.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,UK,Willing,,,Mauritius,,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520720.pdf,took on the cargo of the Leonidas condemned in Mauritius and taking back to London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Winthrop,Aikin,Fairhaven,Mauritius,whaling,,http://images.mysticseaport.org/images/wsl/18581012.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Wolga,Dimmick,Fairhaven,Mayotte,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541226.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Xantho,Barton,Warren,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/wsl/18580323.pdf; http://images.mysticseaport.org/Images/wsl/18570707.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Young Phoenix,Sherman,New Bedford,"Cape Town, Mauritius",whaling,http://pplspc.org/nicholson/rj5_nicholson_690/pdf/rj5_nicholson_690r.pdf,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Young Phoenix,Shockley,New Bedford,"Mauritius, Madagascar",whaling,,http://images.mysticseaport.org/images/wsl/18581005.pdf,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Young Phoenix,Tompkins,New Bedford,MAuritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520120.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,US,Young Phoenix,Benjamin Franklin Wing,New Bedford,"Madagascar, Reunion  ",whaling,New Bedford whaling library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Zephyr,,,Saint Augustin Bay,whaling,,NBWM 24,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Zephyr,,,Saint Augustine Bay,whaling,,NBWM 339,,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Zephyr,Shearman,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,US,,,Salem,Mauritius,,,"History of Essex County, 83",mostly done by Elias Hasket Derby until he died in 1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,US,,,Salem,Mauritius,,,"History of Essex County, 83",mostly done by Elias Hasket Derby until he died in 1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,US,,,Salem,Mauritius,,,"History of Essex County, 83",mostly done by Elias Hasket Derby until he died in 1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
